timestamp,latitude,longitude,elevation
2015-08-23T17:37:58+00:00,38.061991,-121.789849,0.0
2015-08-23T17:38:00+00:00,38.0621,-121.789696,0.0
2015-08-23T17:38:02+00:00,38.062201,-121.789538,0.0
2015-08-23T17:38:04+00:00,38.062312,-121.789388,0.0
2015-08-23T17:38:06+00:00,38.062425,-121.789243,0.0
2015-08-23T17:38:07+00:00,38.062484,-121.789169,0.0
2015-08-23T17:38:08+00:00,38.062546,-121.789098,0.0
2015-08-23T17:38:10+00:00,38.062674,-121.788956,0.0
2015-08-23T17:38:12+00:00,38.062807,-121.788819,0.0
2015-08-23T17:38:14+00:00,38.062939,-121.788698,0.0
2015-08-23T17:38:16+00:00,38.063072,-121.788579,0.0
2015-08-23T17:38:17+00:00,38.063138,-121.788516,0.0
2015-08-23T17:38:19+00:00,38.063276,-121.78839,0.0
2015-08-23T17:38:21+00:00,38.06341,-121.788278,0.0
2015-08-23T17:38:23+00:00,38.063547,-121.788193,0.0
2015-08-23T17:38:25+00:00,38.063683,-121.788119,0.0
2015-08-23T17:38:27+00:00,38.063801,-121.78802,0.0
2015-08-23T17:38:29+00:00,38.063903,-121.787901,0.0
2015-08-23T17:38:31+00:00,38.064009,-121.787812,0.0
2015-08-23T17:38:33+00:00,38.064104,-121.787752,0.0
2015-08-23T17:38:35+00:00,38.064179,-121.787677,0.0
2015-08-23T17:38:37+00:00,38.064258,-121.787592,0.0
2015-08-23T17:38:39+00:00,38.064344,-121.787513,0.0
2015-08-23T17:38:41+00:00,38.064436,-121.787443,0.0
2015-08-23T17:38:43+00:00,38.064519,-121.787364,0.0
2015-08-23T17:38:45+00:00,38.064577,-121.787277,0.0
2015-08-23T17:38:48+00:00,38.064609,-121.787171,0.0
2015-08-23T17:38:56+00:00,38.064515,-121.787075,0.0
2015-08-23T17:39:00+00:00,38.064373,-121.787098,0.0
2015-08-23T17:39:02+00:00,38.06427,-121.787148,0.0
2015-08-23T17:39:04+00:00,38.06417,-121.787237,0.0
